Date(UTC),Symbol,Side,Price,Quantity,Amount,Fee,Fee Coin,Realized Profit,Quote Asset
2026-01-14 23:46:32,DASHUSDT,BUY,79.92,1.93800000,154.8849600000000000,0.07744247,USDT,-2.13180000,USDT
2026-01-14 23:46:32,DASHUSDT,BUY,79.92,0.63900000,51.0688800000000000,0.02553444,USDT,-0.70290000,USDT
2026-01-14 22:55:36,DASHUSDT,SELL,78.82,2.57700000,203.1191400000000000,0.10155957,USDT,0.00000000,USDT
2026-01-14 20:58:02,IPUSDT,BUY,3.33,55.70000000,185.4810000000000000,0.09274050,USDT,3.73190000,USDT
2026-01-14 18:45:13,DASHUSDT,SELL,84.68,1.99200000,168.6825600000000000,0.08434128,USDT,-2.64936000,USDT
2026-01-14 18:45:13,DASHUSDT,SELL,84.68,0.28000000,23.7104000000000000,0.01185520,USDT,-0.37240000,USDT
2026-01-14 18:45:13,DASHUSDT,SELL,84.68,0.10800000,9.1454400000000000,0.00457272,USDT,-0.14364000,USDT
2026-01-14 18:45:13,DASHUSDT,SELL,84.68,0.11900000,10.0769200000000000,0.00503846,USDT,-0.15827000,USDT
2026-01-14 18:38:54,IPUSDT,SELL,3.397,55.70000000,189.2129000000000000,0.09460645,USDT,0.00000000,USDT
2026-01-14 18:33:10,ICPUSDT,SELL,4.215,1.00000000,4.2150000000000000,0.00210750,USDT,-0.07200000,USDT
2026-01-14 18:33:10,ICPUSDT,SELL,4.215,5.00000000,21.0750000000000000,0.01053750,USDT,-0.36000000,USDT
2026-01-14 18:33:10,ICPUSDT,SELL,4.215,21.00000000,88.5150000000000000,0.04425750,USDT,-1.51200000,USDT
2026-01-14 18:33:10,ICPUSDT,SELL,4.215,5.00000000,21.0750000000000000,0.01053750,USDT,-0.36000000,USDT
2026-01-14 18:33:10,ICPUSDT,SELL,4.215,20.00000000,84.3000000000000000,0.04215000,USDT,-1.44000000,USDT
2026-01-14 18:22:59,DASHUSDT,BUY,86.01,2.49900000,214.9389900000000000,0.10746949,USDT,0.00000000,USDT
2026-01-14 18:15:40,DASHUSDT,SELL,86.55,0.86200000,74.6061000000000000,0.03730304,USDT,-0.07643941,USDT
2026-01-14 18:15:40,DASHUSDT,SELL,86.55,1.70000000,147.1350000000000000,0.07356749,USDT,-0.15075058,USDT
2026-01-14 17:57:54,DASHUSDT,BUY,86.64,1.91600000,166.0022400000000000,0.08300112,USDT,0.00000000,USDT
2026-01-14 17:57:54,DASHUSDT,BUY,86.64,0.11600000,10.0502400000000000,0.00502512,USDT,0.00000000,USDT
2026-01-14 17:57:54,DASHUSDT,BUY,86.64,0.19100000,16.5482400000000000,0.00827411,USDT,0.00000000,USDT
2026-01-14 17:57:54,DASHUSDT,BUY,86.63,0.33900000,29.3675700000000000,0.01468378,USDT,0.00000000,USDT
2026-01-14 17:42:40,ICPUSDT,BUY,4.287,40.00000000,171.4800000000000000,0.08574000,USDT,0.00000000,USDT
2026-01-14 17:42:40,ICPUSDT,BUY,4.287,12.00000000,51.4440000000000000,0.02572200,USDT,0.00000000,USDT
2026-01-14 17:33:23,IPUSDT,BUY,3.436,68.40000000,235.0224000000000000,0.11751120,USDT,-2.87280000,USDT
2026-01-14 17:33:23,IPUSDT,BUY,3.436,2.40000000,8.2464000000000000,0.00412319,USDT,-0.10080000,USDT
2026-01-14 17:23:51,IPUSDT,SELL,3.394,70.80000000,240.2952000000000000,0.12014760,USDT,0.00000000,USDT
2026-01-14 17:19:30,RIVERUSDT,SELL,28.887,0.10000000,2.8887000000000000,0.00144435,USDT,-0.02864736,USDT
